order_id,order_date,online_order,customer_id,store_id,sales_person_id,billtoaddressid,shiptoaddressid,subtotal,taxamt,freight,totaldue,created_at
43659,2011-05-31 00:00:00,f,29825,1046,279,985,985,20565.6206,1971.5149,616.0984,23153.2339,2011-06-07 00:00:00
43660,2011-05-31 00:00:00,f,29672,722,279,921,921,1294.2529,124.2483,38.8276,1457.3288,2011-06-07 00:00:00
43661,2011-05-31 00:00:00,f,29734,852,282,517,517,32726.4786,3153.7696,985.553,36865.8012,2011-06-07 00:00:00
43662,2011-05-31 00:00:00,f,29994,1418,282,482,482,28832.5289,2775.1646,867.2389,32474.9324,2011-06-07 00:00:00
43663,2011-05-31 00:00:00,f,29565,484,276,1073,1073,419.4589,40.2681,12.5838,472.3108,2011-06-07 00:00:00
43664,2011-05-31 00:00:00,f,29898,1206,280,876,876,24432.6088,2344.9921,732.81,27510.4109,2011-06-07 00:00:00
43665,2011-05-31 00:00:00,f,29580,518,283,849,849,14352.7713,1375.9427,429.9821,16158.6961,2011-06-07 00:00:00
43666,2011-05-31 00:00:00,f,30052,1850,276,1074,1074,5056.4896,486.3747,151.9921,5694.8564,2011-06-07 00:00:00
43667,2011-05-31 00:00:00,f,29974,1374,277,629,629,6107.082,586.1203,183.1626,6876.3649,2011-06-07 00:00:00
43668,2011-05-31 00:00:00,f,29614,592,282,529,529,35944.1562,3461.7654,1081.8017,40487.7233,2011-06-07 00:00:00
43669,2011-05-31 00:00:00,f,29747,880,283,895,895,714.7043,70.5175,22.0367,807.2585,2011-06-07 00:00:00
43670,2011-05-31 00:00:00,f,29566,488,275,810,810,6122.082,587.5603,183.6126,6893.2549,2011-06-07 00:00:00
43671,2011-05-31 00:00:00,f,29890,1186,283,855,855,8128.7876,780.8136,244.0042,9153.6054,2011-06-07 00:00:00
43672,2011-05-31 00:00:00,f,30067,1882,282,464,464,6124.182,587.6023,183.6257,6895.41,2011-06-07 00:00:00
43673,2011-05-31 00:00:00,f,29844,1086,275,821,821,3746.2015,357.9614,111.8629,4216.0258,2011-06-07 00:00:00
43674,2011-05-31 00:00:00,f,29596,552,282,458,458,2624.382,251.9407,78.7315,2955.0542,2011-06-07 00:00:00
43675,2011-05-31 00:00:00,f,29827,1050,277,631,631,5716.3102,546.8759,170.8987,6434.0848,2011-06-07 00:00:00
43676,2011-05-31 00:00:00,f,29811,1018,275,755,755,14203.458,1363.266,426.0206,15992.7446,2011-06-07 00:00:00
43677,2011-05-31 00:00:00,f,29824,1044,278,556,556,7793.1108,747.1011,233.4691,8773.681,2011-06-07 00:00:00
43678,2011-05-31 00:00:00,f,29889,1184,281,1021,1021,9799.9243,942.074,294.3981,11036.3964,2011-06-07 00:00:00
43679,2011-05-31 00:00:00,f,29761,908,278,525,525,1316.0575,125.8032,39.3135,1481.1742,2011-06-07 00:00:00
43680,2011-05-31 00:00:00,f,29489,302,281,1069,1069,11397.4992,1093.6394,341.7623,12832.9009,2011-06-07 00:00:00
43681,2011-05-31 00:00:00,f,29661,698,279,955,955,13787.5434,1323.0668,413.4584,15524.0686,2011-06-07 00:00:00
43682,2011-05-31 00:00:00,f,29759,904,275,808,808,3875.7229,371.8002,116.1876,4363.7107,2011-06-07 00:00:00
43683,2011-05-31 00:00:00,f,29497,318,283,889,889,42813.4333,4107.1489,1283.484,48204.0662,2011-06-07 00:00:00
43684,2011-05-31 00:00:00,f,29912,1240,279,971,971,5596.4705,537.2612,167.8941,6301.6258,2011-06-07 00:00:00
43685,2011-05-31 00:00:00,f,30084,1918,279,958,958,2736.5678,263.201,82.2503,3082.0191,2011-06-07 00:00:00
